Type,Section Length (m),Corner Radius (m)
Right,2,21.75
Right,1,30.7
Right,1,97.759
Left,1,41.988
Left,1,55.746
Left,1,85.89
Left,1,223.535
Left,1,126.875
Left,1,101.142
Left,1,147.388
Left,1,190.57
Left,1,421.448
Right,1,102.439
Right,1,76.85
Right,1,83.666
Right,1,126.724
Right,1,44.257
Right,1,38.841
Right,2,31.509
Right,1,20.606
Right,1,17.243
Right,1,15.278
Right,2,14.571
Right,1,13.222
Right,1,17.993
Right,1,24.342
Right,1,84.184
Left,2,61.101
Left,1,27.883
Left,1,20.628
Left,1,18.125
Left,2,18.179
Left,1,17.55
Left,2,19.38
Left,1,25.855
Left,1,58.846
Right,2,99.299
Right,1,34.038
Right,2,22.928
Right,1,23.119
Right,1,32.124
Right,2,27.865
Right,1,17.069
Right,1,17.705
Right,1,22.736
Right,1,16.673
Right,1,15.312
Right,1,14.127
Right,2,13.572
Right,1,12.039
Right,1,11.718
Right,1,11.902
Right,1,12.098
Right,1,10.717
Right,1,10.665
Right,1,10.415
Right,2,13.398
Right,1,16.471
Right,1,25.292
Right,1,157.843
Right,2,1417.656
Left,1,95.352
Left,1,31.155
Left,2,22.394
Left,1,13.643
Left,1,11.484
Left,2,12.607
Left,1,12.983
Left,1,20.365
Left,1,29.313
Left,2,174.03
Left,1,464.173
Left,1,75.663
Left,2,189.295
Right,1,60.678
Right,1,41.741
Right,2,26.164
Right,1,15.507
Right,1,13.228
Right,1,11.516
Right,1,12.686
Right,1,27.34
Right,1,145.678
Left,1,17.275
Left,2,10.176
Left,1,9.083
Left,1,8.007
Left,1,9.223
Left,1,9.684
Left,1,10.855
Left,1,45.245
Right,1,38.582
Right,1,14.67
Right,1,12.544
Right,1,11.064
Right,2,9.872
Right,1,10.503
Right,1,11.707
Right,1,12.278
Right,1,32.489
Left,1,59.437
Left,2,32.961
Left,1,15.007
Left,1,14.127
Left,1,13.157
Left,1,13.391
Left,2,13.21
Left,1,14.412
Left,1,15.572
Left,1,69.283
Right,2,29.326
Right,1,13.401
Right,1,12.074
Right,2,13.235
Right,1,13.71
Right,1,14.447
Right,2,14.217
Right,1,14.683
Right,2,17.489
Right,1,20.547
Right,1,20.566
Right,2,18.747
Right,1,17.855
Right,2,21.617
Right,1,32.009
Right,2,64.793
Left,1,517.335
Left,1,64.31
Left,1,23.298
Left,2,15.273
Left,1,13.239
Left,1,11.504
Left,1,11.969
Left,2,14.731
Left,1,16.004
Left,1,14.725
Left,1,22.393
Left,2,19.508
Left,1,18.091
Left,2,20.565
Left,1,18.302
Left,2,17.853
Left,1,19.287
Left,1,18.808
Left,2,17.615
Left,1,16.958
Left,2,18.094
Left,2,21.815
Left,1,24.751
Left,2,27.833
Left,1,39.014
Left,2,40.439
Left,2,48.87
Left,1,50.907
Left,2,83.732
Left,1,250.828
Right,2,812.7
Left,1,199.94
Left,2,56.431
Left,1,27.971
Left,1,17.423
Left,1,14.958
Left,2,13.726
Left,1,12.332
Left,1,13.808
Left,1,19.291
Left,1,14.04
Left,1,13.152
Left,1,11.525
Left,1,11.135
Left,1,10.319
Left,1,10.862
Left,1,11.164
Left,1,11.208
Left,1,11.089
Left,1,8.879
Left,2,8.075
Left,1,9.632
Left,1,8.978
Left,1,8.916
Left,1,9.209
Left,1,8.875
Left,1,8.413
Left,1,9.258
Left,1,10.247
Left,1,12.157
Left,1,24.545
Right,2,310.957
Right,1,19.016
Right,1,12.288
Right,1,9.136
Right,1,7.628
Right,1,5.192
Right,1,5.465
Right,1,5.321
Right,1,5.493
Right,1,6.439
Right,1,5.583
Right,1,6.604
Right,1,7.177
Right,1,11.791
Right,1,7.413
Right,1,6.624
Right,1,6.132
Right,1,6.261
Right,1,6.992
Right,1,9.443
Right,1,10.7
Right,1,14.157
Right,1,26.988
Right,1,344.9
Left,1,28.251
Left,1,15.586
Left,1,12.553
Left,1,9.994
Left,1,8.103
Left,1,6.838
Left,1,6.264
Left,1,7.454
Left,1,7.319
Left,1,7.609
Left,1,7.004
Left,1,7.02
Left,1,7.223
Left,1,7.863
Left,1,8.61
Left,1,9.152
Left,1,11.593
Left,1,15.889
Left,1,14.417
Left,2,20.203
Left,1,64.771
Left,1,94.904
Left,2,118.83
Left,1,128.135
Left,2,1042.764
Right,1,296.255
